,title,authors,isbn,publisher,categories,thumbnail
29,Uncommon Carriers,John McPhee,0374280398,Farrar Straus Giroux,Literary Collections,http://books.google.com/books/content?id=uOSPZhoDIuMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
30,Heirs of General Practice,John McPhee,0374519749,Farrar  Straus and Giroux,Biography & Autobiography,http://books.google.com/books/content?id=kNp33i-AIq0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
31,The Control of Nature,John McPhee,0374522596,Farrar  Straus and Giroux,Nature,http://books.google.com/books/content?id=p1qKQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
32,Coming Into the Country,John McPhee,0374522871,Farrar  Straus and Giroux,Nature,http://books.google.com/books/content?id=ds3uJRhlOB0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
33,Giving Good Weight,John McPhee,0374516006,Farrar  Straus and Giroux,Literary Collections,http://books.google.com/books/content?id=Xx0IHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
34,The Heidi Chronicles,Wendy Wasserstein,0822205106,Dramatists Play Service,Literary Criticism,http://books.google.com/books/content?id=z1XLUAwU1sIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
35,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,0679734996,Vintage,Drama,http://books.google.com/books/content?id=sn1CGv9Rq5sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
36,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,1596670231,Routledge,Education,http://books.google.com/books/content?id=9104ZLuR4Y0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
37,Simply Beautiful Beaded Jewelry,Heidi Boyd,1581807740,North Light Books,Crafts & Hobbies,http://books.google.com/books/content?id=PRvExwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
38,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,0800793617,Chosen Books,Religion,http://books.google.com/books/content?id=oPYCNFCUbGwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
39,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,0871202867,Association for Supervision & Curriculum Development,Education,http://books.google.com/books/content?id=3Mx4QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
40,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,0871209993,ASCD,Education,http://books.google.com/books/content?id=FWNuQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
41,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,1852402873,Sovereign World,Church work with the poor,http://books.google.com/books/content?id=H-AMAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
42,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,0761129588,Workman Publishing Company,Family & Relationships,http://books.google.com/books/content?id=Nmj7-1leb3oC&printsec=frontcover&img=1&zoom=1&source=gbs_api
43,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,0972016414,One Hour Entertainment,Family & Relationships,http://books.google.com/books/content?id=a6NbAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
44,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,0441102670,Ace Books,Fiction,http://books.google.com/books/content?id=ryot4Ag2GGQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
45,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,0785260056,Thomas Nelson,Business & Economics,http://books.google.com/books/content?id=L_FGsSyk2PkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
46,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,0471780936,Wiley,Business & Economics,http://books.google.com/books/content?id=idPQNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
47,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,0325001537,Heinemann Drama,Performing Arts,http://books.google.com/books/content?id=pZlZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
48,eBay for Dummies,Marsha Collier,0470045299,Wiley,Business & Economics,http://books.google.com/books/content?id=9VIhmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
49,Ruby Cookbook,Lucas Carlson/Leonard Richardson,0596523696,O'Reilly Media,Computers,http://books.google.com/books/content?id=E_KMa5Zab0MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
50,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,0806523492,Citadel,Cooking,http://books.google.com/books/content?id=bVf9SQKUumgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
51,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,0140449175,Penguin Books,Fiction,http://books.google.com/books/content?id=NjBz-8TLnTEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
52,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,0822001837,Cliffs Notes,Literary Criticism,http://books.google.com/books/content?id=aPMFyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
53,Tolstoy: Anna Karenina,Anthony Thorlby,0521313252,Cambridge University Press,Literary Criticism,http://books.google.com/books/content?id=eOrv5wGPnTgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
54,Untouchable,Mulk Raj Anand/E.M. Forster,0140183957,Penguin Books,Fiction,http://books.google.com/books/content?id=6OGdT0VVaKAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
55,The Untouchable,John Banville,0679767479,Vintage,Fiction,http://books.google.com/books/content?id=lOeXpung8tkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
56,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,0743270797,Scribner,Biography & Autobiography,http://books.google.com/books/content?id=k9hfQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
57,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,1557344035,Teacher Created Resources,Education,http://books.google.com/books/content?id=JDsr2Oxn-3YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
58,Wrinkles in Time,George Smoot/Keay Davidson,0380720442,Harper Perennial,Science,http://books.google.com/books/content?id=DSv0HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
59,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,1400032466,Vintage Crime/Black Lizard,Fiction,http://books.google.com/books/content?id=yLLjosjPG58C&printsec=frontcover&img=1&zoom=1&source=gbs_api
60,I am Charlotte Simmons,Tom Wolfe,0312424442,Picador USA,Fiction,http://books.google.com/books/content?id=1EPdr5xFKfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
61,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,0806930772,Sterling,Juvenile Nonfiction,http://books.google.com/books/content?id=OOWdcHG1oXwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
62,The Puffin Book of Nonsense Verse,Quentin Blake,0140366601,Puffin,Juvenile Nonfiction,http://books.google.com/books/content?id=hMjTHea0roQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
63,Henry Miller on Writing,Henry Miller/Thomas H. Moore,0811201120,New Directions Publishing,Literary Criticism,http://books.google.com/books/content?id=tNB6wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
64,Quiet Days in Clichy,Henry Miller,080213016X,Grove Press,Fiction,http://books.google.com/books/content?id=pzSgm88YFCYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
65,Tropic of Capricorn,Henry Miller,0802151825,Grove Press,Fiction,http://books.google.com/books/content?id=oK7U5DbFA3gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
66,Sexus (The Rosy Crucifixion  #1),Henry Miller,0802151809,Grove Press,Fiction,http://books.google.com/books/content?id=jzjwvQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
67,The Air-Conditioned Nightmare,Henry Miller,0811201066,New Directions,Fiction,http://books.google.com/books/content?id=jAEY3Kbnj3oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
68,The Portrait of a Lady,Henry James/Patricia Crick,0141439637,Penguin Classics,Fiction,http://books.google.com/books/content?id=Y6EcVaBi2AAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
69,The War,Marguerite Duras/Barbara Bray,1565842219,The New Press,Biography & Autobiography,http://books.google.com/books/content?id=1h1uPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
70,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,0394743040,Pantheon,Fiction,http://books.google.com/books/content?id=YtSMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
71,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,1851681825,One World (UK),Biography & Autobiography,http://books.google.com/books/content?id=OY0MAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
72,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,014019553X,Penguin Books,Fiction,http://books.google.com/books/content?id=KOEKAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
73,Treasure Island,Robert Louis Stevenson/Scott McKowen,1402714572,Sterling Children's Books,Juvenile Fiction,http://books.google.com/books/content?id=UUl7Zyj841QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
74,100 Years of Lynchings,Ralph Ginzburg,0933121180,Black Classic Press,Social Science,http://books.google.com/books/content?id=0km_frJZALIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
75,To Sail Beyond the Sunset,Robert A. Heinlein,0441748600,Ace Books,Fiction,http://books.google.com/books/content?id=u_-sxgKp5kcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
76,Job: A Comedy of Justice,Robert A. Heinlein,0345316509,Del Rey,Fiction,http://books.google.com/books/content?id=qdfZBJ8PWWMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
77,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,0671742515,Pocket Books,Fiction,http://books.google.com/books/content?id=h7pjdEPBeGUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
78,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,0345476514,Del Rey,Biography & Autobiography,http://books.google.com/books/content?id=SKdQgGRjIqsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
79,Douglas Adams's Starship Titanic,Terry Jones,0345368436,Ballantine Books,Fiction,http://books.google.com/books/content?id=CzV8djGjTx8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
80,On Bullshit,Harry G. Frankfurt,0691122946,Princeton University Press,Philosophy,http://books.google.com/books/content?id=WBfnlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
81,Another Bullshit Night in Suck City,Nick Flynn,0393329402,W. W. Norton & Company,Biography & Autobiography,http://books.google.com/books/content?id=VmI9eChSV60C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
82,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,0671867423,Simon & Schuster,History,http://books.google.com/books/content?id=OS96yrpGmaQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
83,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,0395883970,HMH Books for Young Readers,Juvenile Nonfiction,http://books.google.com/books/content?id=AhM9QPgp7UMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
84,Underworld,Don DeLillo,0684848155,Scribner,Fiction,http://books.google.com/books/content?id=m0oRCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
85,Libra,Don DeLillo,0140156046,Penguin,Fiction,http://books.google.com/books/content?id=Vw1NGVkbEyAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
86,Americana,Don DeLillo,0140119485,Penguin Books,Fiction,http://books.google.com/books/content?id=Lxn6PSnbD30C&printsec=frontcover&img=1&zoom=1&source=gbs_api
87,Running Dog,Don DeLillo,0679722947,Vintage Contemporaries,Fiction,http://books.google.com/books/content?id=YqtSn1551H4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
88,Cosmopolis,Don DeLillo,0743244257,Scribner,Fiction,http://books.google.com/books/content?id=4_ocfLBdl2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
89,The Names,Don DeLillo,0679722955,Vintage,Fiction,http://books.google.com/books/content?id=c8BhNGSQGfAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
90,V.,Thomas Pynchon,0060930217,Harper Perennial Modern Classics,Fiction,http://books.google.com/books/content?id=jqS2pmUIfOAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
91,The Crying of Lot 49,Thomas Pynchon,0060931671,Harper Perennial,Fiction,http://books.google.com/books/content?id=vp2Sv9KO1VUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
92,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,0312423209,Picador USA,Fiction,http://books.google.com/books/content?id=MgDysANnVqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
93,Vineland,Thomas Pynchon,0141180633,Penguin Classics,Fiction,http://books.google.com/books/content?id=lwQEAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
94,Gravity's Rainbow,Thomas Pynchon,0143039946,Penguin Books,Fiction,http://books.google.com/books/content?id=P95vPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
95,Play It As It Lays,Joan Didion/David Thomson,0374529949,Farrar  Straus and Giroux,Fiction,http://books.google.com/books/content?id=mvSNZow9jksC&printsec=frontcover&img=1&zoom=1&source=gbs_api
96,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,0963188925,Sky Books (NY),Fiction,http://books.google.com/books/content?id=SE8eAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
97,The Brooklyn Follies,Paul Auster,0312426232,Picador,Fiction,http://books.google.com/books/content?id=Opf3yeQixwQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
98,Moon Palace,Paul Auster,0140115854,Penguin Books,Fiction,http://books.google.com/books/content?id=1LJlAspxeecC&printsec=frontcover&img=1&zoom=1&source=gbs_api
99,The Music of Chance,Paul Auster,0140154078,Penguin Books,Fiction,http://books.google.com/books/content?id=gf_sRKKiwgwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
100,Travels in the Scriptorium,Paul Auster,0805081453,Henry Holt & Company,Fiction,http://books.google.com/books/content?id=6MzR9BfSXhMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
101,Leviathan,Paul Auster,0140178139,Penguin Books,Fiction,http://books.google.com/books/content?id=bvxiQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
102,The Red Notebook: True Stories,Paul Auster,0811214982,New Directions,Fiction,http://books.google.com/books/content?id=Re7WYDC4URQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
103,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,0143036556,Penguin Books Ltd. (London),History,http://books.google.com/books/content?id=QyzHKSCYSmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
104,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,0446579785,Business Plus,Business & Economics,http://books.google.com/books/content?id=2TM6lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
105,Collapse of Complex Societies,Joseph A. Tainter,052138673X,Cambridge University Press,Social Science,http://books.google.com/books/content?id=YdW5wSPJXIoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
106,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,0743203046,Simon  Schuster,History,http://books.google.com/books/content?id=rd2ibodep7UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
107,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,034543871X,Ballantine Books,Political Science,http://books.google.com/books/content?id=v1Upp5P_VrAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
108,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,0393318281,W. W. Norton  Company,Fiction,http://books.google.com/books/content?id=jPtwGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
109,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,0806519606,Citadel,Biography & Autobiography,http://books.google.com/books/content?id=_EKV1A22x0sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
110,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,0822549204,Lerner Publications,Technology & Engineering,http://books.google.com/books/content?id=kFFWipanqsoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
111,Tesla Papers,Nikola Tesla/David Hatcher Childress,0932813860,Adventures Unlimited Press,Science,http://books.google.com/books/content?id=rwekkS3oD0EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
112,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,0974514055,Pragmatic Bookshelf,Computers,http://books.google.com/books/content?id=wX9jQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
113,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,0764585975,Cliffs Notes,Literary Criticism,http://books.google.com/books/content?id=PY0FxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
114,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,0812969707,Random House,History,http://books.google.com/books/content?id=v7q94Nxje8MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
115,Vice (V  #8),Jane Feather,0553572490,Bantam,Fiction,http://books.google.com/books/content?id=buXRUxtAh5YC&printsec=frontcover&img=1&zoom=1&source=gbs_api
116,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,0060589469,HarperTorch,Psychology,http://books.google.com/books/content?id=KMRReyLPyXMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
117,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,0802789471,Walker & Company,Juvenile Fiction,http://books.google.com/books/content?id=9-fBHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
118,Motorcycle Basics Techbook,John Harold Haynes,185960515X,Haynes Manuals N. America  Inc.,Transportation,http://books.google.com/books/content?id=1aBkQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
119,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,0451528808,Signet Classics,Fiction,http://books.google.com/books/content?id=XBVzkO6sKOsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
120,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,0192833987,Oxford University Press,Fiction,http://books.google.com/books/content?id=9nxfsPujsYoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
121,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,0486451380,Dover Publications,Religion,http://books.google.com/books/content?id=UTw1AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
122,Atlas Shrugged,Ayn Rand/Leonard Peikoff,0452011876,Plume,Capitalism,http://books.google.com/books/content?id=TecPMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
123,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,0451163087,Signet Book,Literary Collections,http://books.google.com/books/content?id=5eurZ41ne-cC&printsec=frontcover&img=1&zoom=1&source=gbs_api
124,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,0451163931,Signet,Philosophy,http://books.google.com/books/content?id=vtGzoVxe0REC&printsec=frontcover&img=1&zoom=1&source=gbs_api
125,Anthem,Ayn Rand,0452281253,NAL,Fiction,http://books.google.com/books/content?id=Z2s-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
126,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,0553803816,Delacorte Press,History,http://books.google.com/books/content?id=jTmBvyaDdM0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
127,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,0375755195,Random House Trade Paperbacks,Poetry,http://books.google.com/books/content?id=kdzOR4LI17gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
128,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,1592283195,Lyons Press,Sports & Recreation,http://books.google.com/books/content?id=jwoXvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
